,Cluster ID,Phrases,CESI Label,CoT Label,EDC Label,Best Label,Best Source,Explanation
20,20,"- has highest corporate debt
- has high corporate debt in",has highest corporate debt,Has high corporate debt,has highest corporate debt,Has high corporate debt,CoT,"The label ""Has high corporate debt"" is chosen because it is more inclusive and general than ""has highest corporate debt."" The term ""highest"" implies a superlative degree that does not accurately represent the second phrase ""has high corporate debt in,"" which suggests a high but not necessarily the highest amount of corporate debt. The chosen label maintains the semantic meaning of both phrases while providing a broader coverage that can apply to various degrees of high corporate debt without implying an absolute superlative."
21,21,"- living standards drifted away from
- living standards deteriorate less or same",living standards drifted away from,"""Deterioration or stagnation of living standards""",living standards drifted away from,"""Deterioration or stagnation of living standards""",CoT,"The chosen label encompasses the idea that living standards are either getting worse or not improving, which covers both the concept of drifting away (implying a negative change) and deteriorating less or the same (implying either a negative change or no change). It is clear and broad enough to represent the semantic meaning of both phrases provided."
22,22,"- exemption profit margin criterion
- profit margin criterion less than",exemption profit margin criterion,Profit Margin Threshold Criterion,exemption profit margin criterion,Profit Margin Threshold Criterion,CoT,"The term ""Threshold"" broadly encompasses the idea of a criterion that could be an exemption or a specific value that should not be exceeded (less than). It is more inclusive and generic than specifying ""exemption,"" which is only one type of criterion. The label ""Profit Margin Threshold Criterion"" is clear and can be generally applied to various scenarios where a profit margin criterion is used, whether it's an exemption or a limit."
23,23,"- paves way for
- paves the way for",paves way for,Paves the way for,paves way for,Paves the way for,CoT,"The phrase ""Paves the way for"" is grammatically complete and includes the definite article ""the,"" which is commonly used in this expression. This version is more formal and is likely to be recognized and understood in a wide range of contexts, ensuring broad semantic coverage and general applicability. The capitalization of the first word is a stylistic choice that does not significantly affect the meaning, but it does make the label stand out as a proper title or concept, which can be helpful in the context of a knowledge graph where such phrases are often treated as labels for relationships."
24,24,"- implied by latest forward curve
- forward curve",implied by latest forward curve,Forward Curve Interpretation,implied by latest forward curve,Forward Curve Interpretation,CoT,"The label ""Forward Curve Interpretation"" is broad enough to encompass both the specific phrase ""implied by latest forward curve"" and the more general ""forward curve."" It suggests a broader category that includes various interpretations or analyses related to the forward curve, which is a financial term referring to the expected future prices of a commodity, security, or currency as determined by the forward market. The other two labels are identical and too specific, as they only represent the phrase ""implied by latest forward curve"" without acknowledging the more general ""forward curve"" phrase. Therefore, ""Forward Curve Interpretation"" is the most suitable label as it captures the essence of both phrases and can be applied more generally."
25,25,"- had carbon tax since
- sets carbon price in",had carbon tax since,Implements carbon pricing mechanism,had carbon tax since,Implements carbon pricing mechanism,CoT,"The chosen label ""Implements carbon pricing mechanism"" captures the essence of both phrases ""had carbon tax since"" and ""sets carbon price in"" by encompassing the broader concept of a carbon pricing mechanism, which can include both a carbon tax and a carbon price. It is clear and has the broadest semantic coverage, making it generally applicable to various instances where a carbon pricing strategy is applied."
26,26,"- time when subsidies and capital injections exceeded
- cause for subsidies and capital injections to exceed",time when subsidies and capital injections exceeded,"""Circumstances leading to subsidies and capital injections exceeding""",time when subsidies and capital injections exceeded,"""Circumstances leading to subsidies and capital injections exceeding""",CoT,"This label encompasses both the aspect of timing and causality implied in the original phrases. It is broad enough to cover various scenarios that could lead to the exceeding of subsidies and capital injections, thus providing a more comprehensive understanding of the relation. The other two labels focus solely on the timing aspect and do not capture the causative element present in the second phrase."
27,27,"- paralysed
- has paralysed
- paralyzed",paralysed,Paralyzed,paralysed,Paralyzed,CoT,"The label ""Paralyzed"" is chosen as it represents the most commonly used spelling in American English, which is widely used in scientific and international contexts. It also captures the essence of the relation phrases with clarity and broad semantic coverage. The verb form is more general and applicable than the phrase ""has paralysed,"" which is more specific and may not cover all possible uses of the term in a knowledge graph. Additionally, the capitalized form is not necessary, but it does not detract from its applicability."
28,28,"- mindful about
- mindful due to",mindful about,Being mindful of,mindful about,Being mindful of,CoT,"The label ""Being mindful of"" encompasses both ""mindful about"" and ""mindful due to,"" as it implies an awareness or consideration that could be prompted by various reasons or contexts. It has a broad semantic coverage and can be generally applied to situations where mindfulness is due to a specific cause or simply about a particular subject. The preposition ""of"" is more inclusive and can substitute for both ""about"" and ""due to"" in this context, making it a more flexible and representative choice for canonical labeling."
29,29,"- with ICL size
- receives ICL from
- related to ICL",related to ICL,'Interacts with ICL',with ICL size,"""Interacts with ICL""",CoT,"The label ""Interacts with ICL"" encompasses a broad range of interactions that could include receiving ICL, having a relation to ICL, or the size of ICL, which could imply a measurement or assessment of interaction. It is a more inclusive term that can cover various types of relationships with ICL, making it a suitable canonical label for the given phrases. The other options are more specific and do not capture the full range of potential interactions that ""Interacts with ICL"" does."
30,30,"- of ICPFs in 2016
- of ICPFs by end of 2022",of ICPFs by end of 2022,"""of ICPFs in [time period]""",of ICPFs in 2016,"""of ICPFs in [time period]""",CoT,"The label proposed by CoT, ""of ICPFs in [time period],"" is the most inclusive and generalizable of the three options. It captures the essence of the relation phrases, which is that they are describing something related to ICPFs within a specific time frame. By using ""[time period]"" as a placeholder, this label can be applied to any specific year or range of years, making it semantically broad and applicable to various time-related contexts within the knowledge graph. The other two labels are tied to specific years and do not offer the same level of general applicability."
31,31,"- has wage indexation system
- has percentage of employees under indexation system",has percentage of employees under indexation system,"""Has employees under wage indexation system""",has wage indexation system,"""has wage indexation system""",EDC,"The label ""has wage indexation system"" is the most broadly applicable and semantically inclusive option for representing the given phrases. It covers the concept of a wage indexation system existing within an entity without specifying the details of how many or what percentage of employees are under this system, making it a more general and universally applicable label. The other labels are more specific and exclude scenarios where the percentage may not be relevant or where the focus is on the existence of the system itself rather than the details of its implementation."
32,32,"- responsibility for AML tasks should be in
- should be given responsibility for AML tasks",responsibility for AML tasks should be in,"""Responsibility for AML tasks should be assigned to""",responsibility for AML tasks should be in,"""Responsibility for AML tasks should be assigned to""",CoT,"The chosen label ""Responsibility for AML tasks should be assigned to"" encompasses the meaning of both given phrases by implying an action of assignment, which is a necessary implication for responsibility to be given or held. It also maintains clarity and general applicability by specifying that there is an active assignment of responsibility, which covers scenarios where responsibility is being designated to a particular party. The other two labels, while similar, lack the explicit action of assignment, which could be interpreted as a static state rather than a dynamic action."
33,33,"- adjusts number of recipients based on
- assumes constant number of recipients at",adjusts number of recipients based on,"""Regulates the quantity of recipients""",adjusts number of recipients based on,"""Regulates the quantity of recipients""",CoT,"The label ""Regulates the quantity of recipients"" is chosen because it encompasses the idea of both adjusting and assuming a number of recipients, which are actions that involve regulation. The term ""regulates"" is broad enough to cover various scenarios where the number of recipients may change or remain constant, thus providing a more general and semantically inclusive label for the given phrases. The other two options are identical and are more specific to the action of adjusting, which does not fully capture the concept of assuming a constant number. Therefore, ""Regulates the quantity of recipients"" is the most appropriate label for its clarity and broad semantic coverage."
34,34,"- effective in damping employment losses compared to
- no employment losses during",effective in damping employment losses compared to,Employment losses management,effective in damping employment losses compared to,Employment losses management,CoT,"The label ""Employment losses management"" is broader and more inclusive, capturing the essence of both phrases provided. It implies a general approach or effectiveness in handling employment losses, which can encompass both the prevention of losses and the mitigation of their impact. The other two labels are identical and too specific, as they only reflect the concept of effectiveness in damping losses, without covering the scenario where there are no losses during a certain period."
35,35,"- to decarbonise
- help to decarbonise",help to decarbonise,To decarbonise,to decarbonise,to decarbonise,EDC,"The label ""to decarbonise"" is clear and has broad semantic coverage, as it encompasses the action of decarbonisation without specifying the manner or assistance, which makes it generally applicable to various contexts. The phrase ""help to decarbonise"" can be considered a specific instance of the broader action ""to decarbonise."" Therefore, the label ""to decarbonise"" is the most inclusive and representative of the given phrases. The capitalisation in ""To decarbonise"" from CoT is not necessary as labels are typically presented in lowercase unless they are proper nouns or acronyms."
36,36,"- weak investment sentiment may be caused by
- time of investment sentiment deterioration",weak investment sentiment may be caused by,"""Deterioration and causes of weak investment sentiment""",weak investment sentiment may be caused by,"""Deterioration and causes of weak investment sentiment""",CoT,"The chosen label encompasses both aspects of the relation phrases: the deterioration of investment sentiment and the potential causes behind it. It is broader and more inclusive than the other two options, which only focus on the causality aspect. The label ""Deterioration and causes of weak investment sentiment"" also implies a temporal element (""time of"") and a causal relationship (""may be caused by""), thus covering the semantic range of both phrases effectively."
37,37,"- R04
- R4",R4,R04,R04,R04,CoT,"The label ""R04"" is chosen because it includes a leading zero, which suggests a standardized format that could potentially accommodate a larger range of numerically indexed relations (e.g., R01, R02, R03, etc.). This format implies a more formal or systematic approach to labeling, which may be beneficial for consistency and sorting purposes within a knowledge graph. Both ""CoT"" and ""EDC"" systems have proposed ""R04"" as the canonical label, indicating a consensus that may reflect broader acceptance of this format."
38,38,"- R11
- R10",R11,,R11,R11,CESI,"Given that ""R11"" and ""R10"" are semantically similar, and two out of the three systems (CESI and EDC) have chosen ""R11"" as the canonical label, it seems to be the most representative. ""nan"" from CoT is not informative as it typically stands for ""not a number"" and does not provide any semantic information about the relationship. Therefore, ""R11"" is chosen for its clarity and because it has been agreed upon by the majority of the systems."
39,39,"- R5
- R05",R5,R5,R5,R5,CoT,"All three systems have proposed the same label ""R5,"" which suggests a consensus on the most representative label for the given phrases. The label ""R5"" is clear, concise, and directly reflects the given phrases ""R5"" and ""R05,"" where ""R05"" can be seen as a zero-padded version of ""R5."" The chosen label has broad semantic coverage as it captures the essence of both phrases without unnecessary complexity or specificity. It is also generally applicable as it does not include any additional characters or formatting that could limit its use in different contexts."
40,40,"- R1
- R01",R01,Sequential Alphanumeric Code,R1,Sequential Alphanumeric Code,CoT,"The label ""Sequential Alphanumeric Code"" is the most descriptive and inclusive, as it captures the essence of both ""R1"" and ""R01"" by indicating that the relation phrases are part of a series that includes both letters and numbers. It is clear and provides a broad semantic coverage that can apply to similar patterns beyond just the two examples given. Both ""R1"" and ""R01"" can be seen as instances of such a code, whereas the labels ""R1"" and ""R01"" are too specific and exclude each other."
41,41,"- R9
- R09",R9,R9,R9,R9,EDC,"Both given phrases ""R9"" and ""R09"" are semantically similar and represent the same concept. The leading zero in ""R09"" does not add any semantic value and can be considered a formatting variation. All three systems propose ""R9"" as the canonical label, which is clear, concise, and broadly applicable, capturing the essence of the relation without unnecessary detail. Therefore, ""R9"" is the best label to represent the group of phrases."
42,42,"- R19
- R18
- R20",R19,,R19,R19,EDC,"Given that both EDC and CESI systems propose ""R19"" as the canonical label for the group of semantically similar relation phrases, it suggests a consensus on this label being representative of the phrases R19, R18, and R20. The label ""R19"" seems to be chosen for its clarity and possibly its central position within the range of the given phrases. The CoT system's suggestion of ""nan"" (which typically stands for 'not a number' or 'not applicable') does not provide any semantic information and therefore is not a useful label for the group of relation phrases. Hence, ""R19"" is the best label as it is clear and has been agreed upon by multiple systems, indicating its suitability to represent the group semantically."
43,43,"- R2
- R02",R2,"""R2/R02""",R2,"""R2""",EDC,"The label ""R2"" is concise, clear, and directly reflects the content of both given phrases, ""R2"" and ""R02"". The leading zero in ""R02"" does not change the semantic meaning of the relation and is likely a formatting variation. Therefore, ""R2"" is the most appropriate label as it captures the essence of the relation without unnecessary complexity or ambiguity. Both EDC and CESI systems proposed this label, indicating a consensus on its suitability."
44,44,"- R03
- R3",R03,R3,R03,R03,EDC,"The label ""R03"" includes a leading zero, which suggests a standardized format that could potentially accommodate a larger range of numbers (e.g., R01, R02, R03, ..., R10, R11, etc.). This format is more explicit and may imply a fixed-width numbering system, which can be beneficial for sorting and organizing purposes. Since two out of the three systems proposed ""R03"" as the canonical label, it also indicates a consensus among the systems, which supports the choice of ""R03"" for clarity and consistency in the knowledge graph."
45,45,"- R8
- R08",R8,R8,R8,R8,CoT,"All three systems have proposed the same canonical label ""R8"" which suggests a consensus on the representation of the relation phrases. The label ""R8"" is clear, concise, and seems to cover the semantic meaning of both given phrases (""R8"" and ""R08"") adequately, as the leading zero in ""R08"" does not change the semantic meaning and is likely just a formatting variation. Therefore, ""R8"" is the best label to represent the group of semantically similar relation phrases."
46,46,"- R14
- R15
- R17
- R16",R16,This would involve choosing the final label from the proposed labels. This could involve weighing the pros and cons of each label and choosing the one that best represents the phrases in the cluster.,R14,R16,CESI,"Without additional context or understanding of what the labels R14, R15, R16, and R17 specifically refer to, it is impossible to make an informed decision based on semantic coverage or applicability. However, since CESI proposed ""R16"" as the canonical label, and given that the labels are numerically consecutive, it is reasonable to assume that ""R16"" might be centrally located within the range and could potentially represent the midpoint or average of the group. Therefore, in the absence of further information, ""R16"" is selected, but it should be noted that this choice is arbitrary and assumes CESI's proposal has some unspecified rationale that justifies it as the best representative label."
47,47,"- R13
- R12",R12,,R13,"""R12""",CESI,"Given that the two phrases are ""R13"" and ""R12,"" and without additional context, it is impossible to determine the semantic meaning behind these codes. However, since both are numerical and sequential, it is reasonable to assume that they are part of a series and are likely to be closely related. Choosing ""R12"" as the canonical label is arbitrary but just as valid as choosing ""R13,"" given the lack of context. The label ""nan"" from CoT is not selected because it typically represents a ""not a number"" value, which does not provide any semantic information about the relationship. Therefore, ""R12"" is chosen for its equal relevance and representation of the given phrases."
48,48,"- R7
- R07",R7,"""R7""",R7,"""R7""",CoT,"All three systems suggest essentially the same label, with the only difference being the inclusion of quotation marks in the CoT system. Since the phrases ""R7"" and ""R07"" are numerically identical and the leading zero in ""R07"" does not change the semantic meaning, the label ""R7"" is clear and accurately represents both phrases without unnecessary punctuation. It has broad semantic coverage and general applicability as it directly reflects the content of the phrases without additional formatting."
49,49,"- R06
- R6",R6,R6,R06,R6,CoT,"The label ""R6"" is a more generalized representation of the given phrases ""R06"" and ""R6"". It covers both variations by omitting the leading zero, which is often used as a placeholder and does not typically alter the semantic meaning of the identifier. Therefore, ""R6"" is clearer and has broader applicability across different contexts where the leading zero may or may not be present."
50,50,"- cash infrastructure issues mentioned
- cash infrastructure has deteriorated",cash infrastructure issues mentioned,Cash infrastructure issues,cash infrastructure issues mentioned,Cash infrastructure issues,CoT,"The label ""Cash infrastructure issues"" chosen from CoT is broad enough to encompass both specific phrases ""cash infrastructure issues mentioned"" and ""cash infrastructure has deteriorated."" It captures the essence of both phrases without being too specific to one particular instance (as in the case of ""cash infrastructure issues mentioned"") or too vague. It is clear, concise, and has the general applicability needed to represent similar semantic concepts in a knowledge graph."
51,51,"- rise in temporary employment contributed to
- temporary employment above trend",temporary employment above trend,Temporary employment trends,rise in temporary employment contributed to,Temporary employment trends,CoT,"The chosen label ""Temporary employment trends"" is broad enough to encompass both the rise in temporary employment and the concept of temporary employment being above trend. It implies a general view of the patterns and changes in temporary employment, which can include various factors such as increases and relative positions to a trend. The other two labels are more specific and do not capture the full semantic range of the given phrases. ""Temporary employment above trend"" only captures the state of being above a trend, while ""rise in temporary employment contributed to"" implies a causal relationship that is not necessarily inherent in the concept of a trend."
52,52,"- called for stronger surveillance under
- called for stronger coordination of",called for stronger surveillance under,Called for stronger action in,called for stronger surveillance under,Called for stronger action in,CoT,"The phrase ""Called for stronger action in"" provides a broader semantic coverage that encompasses both the need for ""stronger surveillance"" and ""stronger coordination,"" which are specific types of actions. It is general enough to represent a call for increased efforts or measures in a given context, making it applicable to a wider range of scenarios that the original phrases might imply."
53,53,"- proclaimed embargo in
- announced embargo on",announced embargo on,"""Declared embargo on""",proclaimed embargo in,"""Declared embargo on""",CoT,"The label ""Declared embargo on"" is chosen because it captures the essence of both phrases ""proclaimed embargo in"" and ""announced embargo on"" effectively. The term ""declared"" is a more general term that can encompass both ""proclaimed"" and ""announced,"" and it is commonly used in the context of official or formal announcements, such as embargoes. Additionally, the preposition ""on"" is more widely applicable when talking about embargoes, as it typically indicates the target of the embargo, which aligns with the general use of such a relation in a knowledge graph."
54,54,"- embargoed
- has embargoed",has embargoed,Imposing an embargo,embargoed,Imposing an embargo,CoT,"The phrase ""Imposing an embargo"" captures the essence of both ""embargoed"" and ""has embargoed"" while providing a clear and active representation of the action taking place. It indicates that an entity is actively applying an embargo, which is the underlying meaning shared by the given phrases. This label offers broad semantic coverage and is generally applicable to situations where an embargo is being enacted."
55,55,"- prefer WFH days
- prefer more WFH days than",prefer more WFH days than,Preference for WFH days,prefer WFH days,Preference for WFH days,CoT,"The label ""Preference for WFH days"" is broad enough to encompass both the idea of preferring work-from-home days in general and the nuance of preferring more work-from-home days than other options. It captures the essence of preference related to WFH days without being overly specific, making it more universally applicable to a range of similar phrases that might be encountered. The other options are either too specific (CESI's choice) or lack the notion of preference strength (EDC's choice)."
56,56,"- ability to pass costs due to
- pass costs onto
- difficulty in passing costs due to",ability to pass costs due to,Transferring Costs,ability to pass costs due to,Transferring Costs,CoT,"The label ""Transferring Costs"" is broad enough to encompass all the given phrases, as it captures the essence of the action described by each phrase without being too specific. It implies the ability to pass costs as well as the difficulty in doing so, making it semantically inclusive. The other two labels are more specific and do not as clearly cover the scenario where there is difficulty involved. ""Transferring Costs"" is also more succinct and general, which is preferable for a canonical label that needs to be widely applicable."
57,57,"- need to pay premium relative to
- traded at premium relative to",traded at premium relative to,Valued at a premium relative to,need to pay premium relative to,Valued at a premium relative to,CoT,"The phrase ""Valued at a premium relative to"" encompasses the idea that something is considered to have a higher value compared to another reference point, which can be interpreted both in terms of needing to pay more (a premium) or being traded at a higher value. It is broad enough to cover both the financial aspect of trading at a premium and the requirement or expectation of paying a premium, thus providing a clear and general representation of the semantic meaning shared by the given phrases."
58,58,"- is inelastic to
- inelasticity in response to
- inelastic due to
- inflenced by
- inelastic to
- relatively inelastic to
- is inelastic in",inelastic to,"""is inelastic to""",is inelastic to,"""is inelastic to""",CoT,"The label ""is inelastic to"" is clear and includes the verb ""is,"" which helps to establish the relation as a state or condition, thus providing a sense of assertion that is useful for representing a factual relationship in a knowledge graph. It also covers the semantic meaning of all the given phrases by indicating the inelastic nature of a relationship without losing generality. The inclusion of ""is"" aligns with several of the phrases provided and does not exclude the meaning of any variations, making it broadly applicable. Both CoT and EDC suggest this label, indicating a consensus on its suitability."
59,59,"- experienced stronger trade dynamics
- experienced strong house price dynamics",experienced strong house price dynamics,Experienced strong dynamics,experienced stronger trade dynamics,Experienced strong dynamics,CoT,"The label ""Experienced strong dynamics"" by CoT is the most suitable choice as it captures the essence of both phrases without being too specific to either trade or house prices. It maintains clarity while offering broad semantic coverage and general applicability to various contexts where strong dynamics could be experienced."
