Relation Phrase,Cluster ID
used to disentangle,94
disentangling challenge with,94
in OECD excluding Türkiye is,95
excluding Türkiye decelerated to,95
excluding Türkiye was,95
reason for relationship breakdown between,96
relationship breakdown in,96
substantial reduction in employment during,97
employment reduction persisted until,97
has firms using finance for investment,98
firms reported investing in,98
not yet established,99
not yet materialised due to,99
observed that wage increases fell short of what would be necessary to fuel,100
observed that wage increases were below,100
labour market withdrawal of,101
labour market withdrawals in,101
labour market withdrawals during,101
Spans Pages,102
spans pages,102
spans,103
span,103
both trusts,104
trusts,104
Expected to fully unwind by,105
expected to fully unwind by,105
opinion on,106
opinion about,106
provides opinion,106
beneficiary,107
beneficiaries,107
Beneficiary,107
beneficiary of,107
show a somewhat different path,108
follow a different path in,108
found alternative routes for,108
harmonised,109
proposed to be harmonised at,109
started harmonising,109
harmonised by,109
no assurance for mapping to,110
no guarantee for mapping to,110
unable to map precisely,110
in resolution of,111
being resolved,111
resolved by,111
misreport,112
underreport,112
expressed concern that wage increases were,113
expressed concern that wage increases would have,113
bookings for,114
booked in,114
unwound in,115
unwound by,115
unwinds,115
unfold in,115
executed,116
execute,116
left,117
left in,117
leading issuer of,118
main issuer and holder of,118
reported highest importance for support,119
reported highest importance for support in,119
involves redomiciling of,120
redomiciled to,120
reduced outstanding amounts by,121
outstanding amounts reduced after,121
would dilute,122
diluted by,122
had fiscal impulse around,123
had fiscal impulse more than,123
imputed in,124
imputed using,124
imputed for,124
percentage of imputed items in,125
percentage of items imputed rose in,125
to accommodate delayed loan repayments directed by,126
loan repayments delayed by,126
main investor in,127
follows as investor in,127
announced daily supply,128
announced daily release over period,128
following outbreak in,129
is compared to before outbreak of,129
outbreak effect on,129
calls usually occur in,130
calls take place in,130
rest on,131
rests on,131
resurfaced on,132
started to resurface,132
spurring,133
to spur,133
spur,133
spurs,133
retrenchment experienced in areas of,134
had retrenchment of,134
had retrenchment pronounced in,134
induced retrenchment,134
renewed measures in response to,135
renewed measures for,135
renewed measures during,135
not shifted off,136
not buffered,136
dried up in,137
almost completely dried up in,137
neutral in,138
neutral effect on,138
reason for neutrality,138
neutral impact on,138
seems reasonable due to,139
appears sensible for,139
went smoothly for,140
went smoothly due to,140
store on,141
store,141
core element of,142
suggests core element,142
responded more often dont know in,143
has gap in response dont know with,143
little relief after announcement,144
not relief to,144
sociodemographic factors include,145
is most relevant sociodemographic indicator for,145
remuneration adjusts faster during,146
remuneration adjusts sluggishly during,146
intends to shed light upon,147
shed light on,147
time of historically low levels for gas supply,148
time of gas supply level,148
less central position in,149
less central position compared with,149
more central position in,149
results in low gas storage levels,150
time of concern for gas storage replenishment,150
needs to replenish gas storage levels,150
bolsters accumulation of gas in storage,151
time of bolstered gas storage,151
purpose of Fit for 55 package,152
by year for reduction target under Fit for 55,152
is a legal obligation for,153
with obligation to pay,153
monthly flows negative since,154
monthly flows close to zero since,154
increase of net borrowing to,155
indebtedness increase by,155
increase of net lending to,155
factor 3,156
factor 2,156
factor 1,156
profitability comparable to pre,157
compares profitability,157
disregarded in,158
disregards,158
ignores,158
is unprecedented in,159
unprecedented in,159
has supply linkages,160
linkages in,160
interlinkages help understand,160
in the global economy is,161
position in global economy,161
has higher and more volatile expectations than,162
has higher and more volatile expectations since,162
stopped financing,163
stop financing timeline,163
retrace due to,164
retract as,164
at the euro area level in,165
in euro area compared to,165
in euro area,165
euro area countries,165
of other euro area economies,165
of Euro area exports in,165
in the euro area economy over,165
has median and average in euro area,165
slight increase in euro area,165
for euro area is,165
in the euro area,165
role within the euro area,165
start time in euro area countries,165
reported in euro area,165
described in euro area as,165
is focused on by other studies regarding,166
supports further research on,166
causes unequal benefit from,167
unequal impact on,167
attracts,168
attract,168
attract necessary,168
supported credit flow to,169
supported credit flow,169
materialized from,170
materialized to,170
reached in July,171
reached in August,171
in August above,171
recommended adoption of,172
needs to take steps for adoption of,172
value of mobilised collateral higher by,173
value of mobilised collateral at,173
catalyst for,174
aims to act as catalyst for,174
designed to act as catalyst in medium term,174
catalyst for changes to,174
sector with more deteriorated profit sentiment,175
sector with stronger improvement in profit sentiment,175
sector with more positive profit sentiment,175
sector with strongest investment sentiment,176
sector held up better in investment sentiment,176
maturities range in,177
for maturities of,177
experienced dip in support for,178
experienced temporary dip in,178
Market State,179
Market State Time,179
on track for,180
track record in,180
on track in,180
saw greater backlog increase,181
backlogs increase start,181
backlogs increase end,181
increase in backlogs greater than,181
industries significant increase in backlogs,182
industries with significant backlog increase,182
expectations for fiscal stimulus led to rise in yields,183
fiscal stimulus expected,183
positive economic outlook led to rise in yields,183
underlie,184
underlies,184
underpinning,185
underpinned,185
underpinned by,185
is underpinned by,185
has underpinned,185
underpin,186
underpins,186
to underpin,186
independent of,187
considered independent of,187
independence from,187
in the United States,188
in the United Kingdom,188
in Portugal,189
in Germany,189
in Spain,189
captures fluctuations in,190
showed fluctuations,190
unexpected policy shocks,191
anticipates policy shocks,191
is gradual and ongoing in,192
reason for gradual process,192
judges,193
judges over,193
draws on,194
draw on,194
economic normalization with lifting of,195
economic aspect normalized,195
turmoil due to,196
causes turmoil in,196
shifted monetary policy to,197
shifted monetary policy from,197
would increase without government aid,198
would reduce without government aid,198
credibility and effectiveness lead to lower,199
credibility and effectiveness reduce,199
little employment,200
little production activity,200
fewer people employed,200
in all jurisdictions of,201
in jurisdictions,201
balance sheet included in,202
has on balance sheet,202
needs supplementation with,203
supplement,203
accepts,204
accepting only,204
includes acceptance of,204
advocates using,205
advocates for,205
resort to,206
resorted to,206
masking,207
can mask,207
masked,207
masks,207
contributes to upturn in employment rate in,208
contributes to upturn in average hours worked in,208
leads to reopening of,209
began to reopen due to,209
allowed for reopening of,209
is reopening due to,209
warranted for,210
warrants,210
accuracy for,211
has accuracy that is,211
measures accuracy of,211
has investment postponed during,212
declined due to delay in investment and purchases,212
can compress,213
compressing,213
compresses,213
compressed since,213
compressed,213
compress,213
supply rationed by,214
rationed by,214
final and intermediate supply rationed in,214
termination condition,215
terminate,215
termination in,215
termination possible before,216
might choose to terminate,216
may decide to terminate,216
will no longer be based on,217
no longer based on,217
specialised in,218
not specialised in,218
could pose headwinds for,219
could pose some headwinds for,219
pose headwinds for,219
facing headwinds in,220
imposing headwinds on,220
facing headwinds,220
facing headwinds due to,220
faces headwinds due to,220
faced headwinds due to,220
as commodities involved in,221
in commodities,221
acting as headwinds to,222
acting as headwind to,222
creates headwinds to,223
create headwinds to,223
creating additional headwinds for,223
creating headwinds to,223
result in headwinds to,223
Headwind To,224
is a headwind for,224
adopt product replacement strategy due to,225
replacement strategy of,225
allowed as collateral due to reason,226
facilitated use of collateral type,226
supports the supply of collateral,226
supports the continuation of trades and supply of collateral,226
for use as collateral,226
accepted collateral,226
has collateral count as,226
mechanism,227
mechanism of,227
own funds provided by,228
amount of own funds provided,228
excluding energy and food for 2023,229
excluding energy and food for 2022,229
excluding food and energy,229
projected rate excluding energy and food,229
considered premature due to risk to,230
considered premature because,230
increased in lockstep with,231
moved in lockstep,231
cumulated shortfall in,232
global shortfall amount,232
cumulated shortfall globally,232
constrains consumption growth,233
consumption hindered by,233
less inclined to consume due to,233
is sizeable in,234
sizeable in,234
ResultedInRemainingPercentageIncreaseIn,235
AccountedForPercentageIncreaseIn,235
from securities,236
of securities issued by,236
from maturing securities,236
sold securities of,237
sold securities impacting,237
abate for,238
abated by,238
abated in,238
climate targets set within,239
climate goals required,239
experienced rising unit labour cost growth due to,240
experienced contained unit labour cost growth during,240
experienced collapse in sales globally,241
offset the collapse in sales to,241
projected to narrow gap with,242
gap has narrowed,242
projected to close gap in,242
implied narrowing of the gap by,242
developed price indices for,243
price developments linked to,243
regressed against,244
regressed on,244
cannot explain,245
unable to explain,245
structure,246
structured around,246
difficult to substitute spending,247
difficult to substitute because,247
year of e17 rate,248
year of e18 rate,248
suggests heterogeneity in,249
finds significant heterogeneity in,249
heterogeneity in,249
revealed heterogeneity in,249
shows heterogeneity of,249
shows heterogeneity across,249
becomes heterogeneous due to,249
is heterogenous,249
has heterogeneous impact related to,249
heterogeneous across,249
heterogeneous in,249
heterogeneity,249
spiked in,250
spiked on,250
spiked after,250
Temporary spike after,250
charged with,251
charged by,251
charge,251
ability to charge,251
charged on,251
indicted,251
mature amount,252
maturity,252
mature date,252
has typical maturity in,253
typical maturity of,253
revised budget balance,254
fiscal balance,254
said,255
says,255
reason for favorable financial conditions,256
financial conditions comparison,256
limiting aspect 1,257
limiting aspect 2,257
recession accounted by,258
has recession,258
recession due to,258
for recession probability,259
implied recession probability,259
difficulty to predict because of,260
are difficult to predict regarding,260
broad based,261
were broad based across,261
increased stockbuilding till,262
time of increased stockbuilding,262
median,263
have median,263
median since,263
capture effect of,264
capture impact over time,264
shorter than usual,265
longer than usual in,265
should be rolled back to avoid,266
should avoid rolling back,266
rolled back as risk recede,266
expected to be buoyed by,267
being buoyed by,267
buoyed,267
More confident leading to,268
becoming more confident,268
become more confident and save less,268
has total envelope,269
total envelope,269
has envelope,269
additional amount for temporary envelope,270
additional envelope amount,270
phased in,271
phased in after,271
percentage for conditions,272
percentage condition for banks,272
projects change for,273
projects,273
temporary removal until,274
temporary in nature,274
is considered temporary because of,274
diverting exports from,275
diverting exports to,275
turn of firms to,276
to firms since,276
experience pipeline pressure at,277
has pipeline price pressure of,277
changed from June to July 2021,278
for July 2021,278
related to cluster,279
tends to be in clusters using,279
tends to be in clusters with,279
belongs to clusters with,279
use when unavailable,280
unavailable affects,280
become unavailable due to,280
reallocation to,281
reallocate to,281
allows efficient purchases,282
more efficient because,282
allows for efficient use of,282
spill over to,283
spilling over to,283
potential spill back to,283
mechanism for spillover,284
illustrates spillover effect in,284
Suggests Greater Spillovers,285
spillovers could be larger for,285
characterized by trust in,286
explores trust in relation to,286
explores trust in,286
amount in Germany,287
amount in France,287
withdrew from,288
withdrawn from by,288
withdrawn in,288
withdraw at,288
withdrawal contributes to,289
withdrawal recommended by,289
corroborate findings,290
corroborates,290
corroborates finding,290
highest ratio year,291
year of ratio,291
due to bottlenecks in,292
has bottleneck due to,292
creates bottlenecks in,292
supply bottleneck due to,292
expected setback related to,293
similar setback as,293
had gas contracts indexed to,294
has gas contracts linked to,294
might be resident in,295
resident in,295
lives in,295
combats,296
combat,296
Uncertainties abated somewhat,297
uncertainty is fading,297
recycle form in,298
recycle method,298
full name,299
name,299
biased with respect to,300
biased towards issuers with,300
bias towards,300
amplified volatility in,301
accelerated volatility in,301
considered complementary to,302
became complementary after,302
policy time start,303
policy time end,303
helps gauge,304
gauged by,304
uptake range end,305
uptake range start,305
outlook clouded by,306
outlook clouded for,306
is clouded by,307
clouded by,307
is competing with,308
competition for,308
saved gas in,309
had gas saved than envisioned,309
led to gas saving,309
lower risk tolerance,310
had lower risk tolerance influencing,310
proportion of regular income,311
proportion receiving income,311
income form,312
regular income form,312
income type,312
reported in net terms,313
in net terms,313
is the exception to correlation in,314
is exception to low correlation,314
conditioned on,315
conditioning through,315
conditioned by,315
could potentially prolong,316
might prolong,316
to enjoy,317
enjoy,317
part of collection for,318
reason for collection,318
led to cessation,319
led to cessation of,319
current investment as percentage of,320
overall investment as percentage of,320
not submitted,321
not granted through,321
not returned to,322
not returning to,322
not return to,322
key trading partners include,323
trading partners,323
will maintain in monetary policy,324
monetary policy will depend on,324
might dampen demand for,325
dampens demand for,325
discourage demand for,325
willing to pay more for,326
willingness for,326
willing to pay for,326
reclassified to,327
reclassified portion,327
reclassified portion of,327
higher leverage than,328
increasingly leveraged,328
waits for details of,329
wait for,329
of PSPP was,330
of CSPP increased by,330
of PSPP increased by,330
of CSPP was,330
lost employment in,331
hardest hit in employment losses,331
among workers lost employment in,331
cannot infer from,332
cannot be attributed to,332
indicate not exclusively targeting,333
did not exclusively target,333
use funds from for paying off obligations,334
use funds from for refinancing,334
should not undermine,335
should not exceed,335
Depress,336
depressed until,336
depressed by,336
depress,336
depresses,336
in January were at,337
state in February,337
for January equals,337
state in January,337
rise backdrop,338
backdrop,338
joined,339
joined on,339
joined at stages of,339
traded with,340
has trade ties with,340
is traded with,340
has trade with,340
exchanged for,341
in exchange for,341
is a prerequisite for,342
prerequisite for,342
mobilises funding volume of,343
mobilises investment,343
mobilised funding for,343
expects firms to avoid,344
allow firms to avoid,344
indicates rating of,345
rated at,345
provided additional budget for,346
financed by additional amount,346
not see as limiting factor,347
suggests limiting factor,347
limiting factor for,347
be amplified by,348
amplified effect on,348
could have amplified,348
can be amplified by,348
amplified by,348
amplified,348
favor,349
favours,349
amplify,350
could amplify,350
amplifies,350
amplify effect on,351
amplify effects,351
focus of second question,352
focus of first question,352
focus of third question,352
entitled to,353
entitled,353
lower bound,354
upper bound,354
maintain policy stance to preserve,355
reconfirm policy stance,355
remains part of policy in,356
remains part of policy under,356
assess transmission of,357
used to evaluate transmission of,357
InPeriod,358
SincePeriod,358
do not discriminate between,359
fail to discriminate between,359
increase deposit holdings due to,360
increased deposit holdings due to,360
includes holding deposits with,360
for recipients of,361
recipients of,361
created tension,362
tension with,362
requires traveling more than,363
has to travel more than,363
has to travel to,364
would have to travel,364
has to travel for,364
fluctuations more limited than,365
fluctuations more limited due to,365
primary effect on,366
primary effect via,366
striking a balance is a challenge in,367
balance challenge,367
structural changes in,368
influenced by structural transition in,368
new value excluding food and energy prices and Türkiye,369
excluding food and energy prices and Türkiye changed by,369
previous value excluding food and energy prices and Türkiye,369
turned to net sellers in,370
turned into net sellers of,370
were net buyers in,370
became net buyers of,370
translate into,371
translated into,371
effects translated into,371
would translate into,371
translating into,371
continued to normalize despite,372
will maintain throughout the process of normalizing,372
do not exhibit,373
do not face,373
do not show,373
avoids pitfalls of,374
avoids weakness of,374
less diversification than,375
has less investment in,375
abstract from,376
is abstracted from,376
interplay between,377
interplay with,377
involved in interplay for,377
increment,378
was after increment,378
taken initiative,379
has initiative,379
average PMI,380
PMI value,380
has a PMI average higher than,380
do not expect,381
did not expect,381
surprised to the downside in,382
surprised to the downside,382
major shock to,383
was a shock for,383
has main theme in,384
theme in,384
reviewed strategy for,385
strategy for,385
pursued by,386
pursue,386
in pursuit of,386
pursues strategy,386
pursues,386
surprised by,387
surprised at,387
surprised,387
surprise on the upside due to,388
Surprised to the upside,388
reviewPeriod,389
ShareInPeriod,389
improves framework conditions for,390
provides framework,390
require comprehensive assessment,391
required comprehensive assessment,391
becoming older over time,392
ageing,392
ageing of,392
decrease net of effects,393
reduce output affects,393
net of the effects,393
net of,393
poorer performance in,394
evident of lacklustre performance,394
tend to underperform in,395
could underperform,395
underperformed due to,395
tended to underperform in response to,395
Underperform relative to,395
Expect underperformance,395
could outperform,396
outperformance over,396
outperformed,396
Rotates back to,397
Rotates back from,397
lasting effects on,398
Evidence of lasting effect of,398
recovery will hinge on,399
hinge on recovery in,399
argued to be,400
argue role for,400
doubled to maintain,401
doubled by,401
indexed to,402
has indices based on,402
is an index of,402
declaring,403
declared in,403
declared,403
has weakening growth momentum,404
shows easing in growth momentum,404
mentioned threshold is,405
has threshold,405
threshold value,405
means of coordinating,406
coordinated under,406
is coordinated by,406
foster trust in,407
fosters trust,407
industry of pronounced expansion,408
sector expansion,408
 sector growth,408
sector of pronounced expansion,408
steepened after,409
has steepened,409
squeezing,410
squeezed during,410
squeezing expected during,410
squeezed in,410
fiscal stance,411
fiscal action,411
predicts stabilization of,412
projected stability in,412
time of relaxation,413
relaxation led to,413
drawback of,414
main drawback according to,414
destination,415
destination for,415
with destination,415
has destination,415
destination area,415
firms considered,416
firms selected based on,416
appreciation in,417
appreciated,417
appreciation followed,417
appreciated by,417
thanks to,417
appreciated against,417
appreciated during,417
cause reappraisal,418
associated reappraisal of,418
channel,419
channel for,419
appears as channel for,419
through channels like,419
allows for effective delivery of,420
effective delivery across,420
assumes stock of excess savings equal to,421
assumes savings equal to,421
used to simulate,422
simulated in,422
can be simulated for,422
simulates impacts by imposing,423
simulates impacts for,423
mitigates effect of migration on,424
enhances effect of migration on,424
InflationType,425
related to inflation type,425
type of inflation,425
related reforms,426
has planned reform,426
reformed following,426
aimed to reform,426
reformed by,426
reform by,426
change factor,427
difference factor,427
influence change factors,427
Limit Spillovers,428
Results In Limited Spillovers,428
entailed limited spillovers to,428
attributed percentage,429
percent attributed,429
will ensure future decisions for,430
ensures future decisions,430
will ensure future decisions regarding,430
extrapolated before,431
extrapolated by,431
extrapolate differently,431
extrapolated after,431
regulated as,432
regulated by,432
regulates,432
be regulated as,432
require regulation as,432
not distorted by,433
increase not distorted by,433
not reinvest all,434
does not reinvest all,434
will not reinvest,435
not reinvest,435
started to bottom out time,436
bottomed out in,436
bottomed out according to,436
bottoming out confirmed by,436
utilized to back financing for,437
back financing for,437
reflection of downturn,438
characterized by downturn in,438
used to identify downturns in,438
downturn in,438
experiences downturn during,438
tightening monetary policy in,439
monetary tightening by,439
tighten monetary policy at a slower pace than,439
tighter monetary policy,439
withdrawal percentage as of year,440
withdrawal percentage for,440
withdrawal rate,440
invasion of,441
invaded,441
invaded on date,441
launched an invasion on,441
launched offensive on,441
invaded on,441
considered segments,442
in segment,442
segment,442
segments of,442
financing cost was,443
estimated financing cost was,443
cost of financing was,443
cost of financing compared to,444
financing cost difference between,444
financing cost difference,444
cost of financing in,445
overall cost of financing by,445
decelerate in,446
expected to decelerate further in,446
decelerated further in,446
shows deceleration in,446
deceleration in,446
expected to decelerate because of,446
decelerated in,446
time of deceleration,446
has decelerated in,446
decelerated due to,446
decelerating in,446
coincided with effect ending,447
coincided with,447
risk direction,448
direction of risks,448
except,449
except for,449
except in,449
mild scenario GDP increase,450
severe scenario GDP drop,450
mild scenario GDP drop,450
severe scenario GDP increase,450
medium scenario GDP drop,450
medium scenario GDP increase,450
sampled as,451
sampled from,451
uses sample of,451
responded by scaling back,452
scaled back,452
priority change,453
has as top priority,453
priority for funding,453
key priority,453
inhibited by,454
inhibits,454
takes time in,455
takes time,455
takes time to unfold,455
note,456
notes,456
due to end of reporting period before,457
end of reporting period before,457
deterioration is slightly more acute compared to,458
shows more substantial deterioration compared to,458
skewed to,459
risks skewed to,459
is skewed towards,459
skewed due to,459
lost momentum at,460
showed signs of loss of momentum in,460
had loss in trade momentum due to,460
includes specification,461
has specification,461
new total of in PEPP,462
in PEPP increased by,462
in PEPP reached,462
cancellation hampering,463
cancellation negatively impacts,463
date of spread value,464
spread value,464
smaller disparity in,465
greater disparity in,465
longer term expectation according to,466
expectation change longer term,466
longer term expectation for,466
expectation change shorter term,466
used fiscal support fraction,467
found government support important for,467
used government support,467
acquire assets,468
in assets,468
insulated from,469
insulated,469
more insulated from,469
remained insulated from,469
rollback,470
rollback timing,470
rolled back when,470
be strengthened by rolling back,470
roll back,470
appear brighter with,471
appear brighter with increase in,471
fosters substitution,472
fosters transition to,472
constrains,473
constrain,473
aim at better isolating in the context of,474
is aimed to isolate,474
FDI income consistency in,475
FDI income paid to,475
attributes income from,475
attributes FDI income to,475
includes income from,475
FDI income in,475
largest weekly percentage loss before,476
record losses due to,476
larger loss of,476
largest losses,476
had more pronounced loss of,476
has strong ties to,477
has strong relationship,477
has quality of,478
has quality,478
typically proxied by,479
proxied by,479
is proxied by,479
Rise Time,480
rise time,480
RiseTime,480
for the next,481
in the next,481
state change,482
state of change in,482
referenced as tight,483
As Tight As,483
described as tight,483
tight since,483
do not rise enough to allow benefit for,484
do not rise enough when caused by,484
lengthened on,485
marked lengthening in,485
have lengthened,485
experienced lengthening in,485
led to lengthened,485
serves as proxy for,486
assessed by proxy,486
proxy for,486
used to proxy,486
used as a proxy of,486
remains depressed primarily due to,487
continues to depress,487
remains depressed compared to,487
moves in relation with,488
movement relation to,488
contributed to surge in energy prices,489
due from high energy prices,489
might not boost,490
not introduced to boost,490
used for transactions in,491
in transaction,491
have income above threshold,492
have income below threshold,492
incentive for shift to,493
incentive for shift from,493
believes,494
believed to be,494
activity curbed,495
curbed,495
curbed by,495
stimulus beyond,496
stimulus for,496
stimulus value,496
action plan set date,497
set out action plan for,497
encompass,498
encompass tracing,498
R supports,499
R Support,499
IncurredEarlyDownturn,500
StriveEarlyDownturn,500
has market share,501
market share comparable to,501
tracks,502
used to track,502
tracked,502
facilitate tracking of,503
allows tracking,503
helps in tracking,503
respond faster to,504
change in speed of response,504
rally observed from,505
rally observed until,505
had uneven recovery in,506
recovered more gradually than other economic aspects,506
recovered more slowly than,506
experienced slower recovery of,506
price volatility began,507
added volatility to,507
caused volatility in,507
led to volatility in,507
volatility affected by,508
impact on volatility,508
could be justified by,509
usually justified by,509
justified by,509
governing,510
governed by,510
within horizon,511
within projection horizon,511
direction,512
has direction,512
is direction of,512
directional from,513
directional to,513
outlines,514
should outline,514
provided outlines for,514
would make it easier,515
would make it easier to meet,515
stopped releasing by,516
stopped producing,516
buy frequency,517
review frequency,517
purchase frequency,517
first step is,518
is first step in,518
used in first step of,518
in first step,518
in second step,519
use in second step of,519
focus in second step,519
exception in deterioration of,520
exception in decline,520
exception to,521
is exception in,521
exceptions specified for,521
is exception,521
counter,522
counters,522
remains a priority in,523
stabilising remains a priority in,523
are exempt from,524
exempt from,524
exempted from,524
initiated work on,525
initiated,525
switched gas contracts to,526
switched gas contracts since,526
introduced to deliver pillars of,527
introduced as pillar of,527
pillar of,527
known for fewer hours,528
reduced hours by,528
reduces hours more,528
assessed direction,529
assessed path,529
has frequency,530
indicates frequency of,530
frequency,530
increased minimum wage by,531
increased minimum wage level,531
Support Factor,532
support factors,532
Ensure timely return to,533
objective to ensure timely return of,533
conducting at a lower pace in,534
lower pace than,534
risk assessment,535
risk assessment over,535
increased risk by prospect of faster recovery,536
increased by prospect of faster recovery,536
also written by,537
written in,537
written by,537
did not respond with,538
refused to answer,538
predicated on,539
level predicated on,539
provides a summary measure of,540
summary measures can be found in,540
allows deduction of,541
allowed deduction,541
reported no reaction to,542
with homeowners reporting no reaction in,542
showed no notable reaction to announcement,542
does not react to,542
found percentage for savings,543
planned to spend savings percentage,543
save percentage,543
favored savings percentage,543
saved percentage of,543
managed to save during,544
saved more due to,544
more likely to save due to,544
saved due to,544
planned to use savings for,545
planned to save,545
savings used for,545
savings held as,546
savings accumulated by,546
savings accumulation among,546
bilateral surplus percentage with US in,547
bilateral surplus percentage with Switzerland in,547
bilateral surplus percentage with UK in,547
jumped to,548
jumped in,548
jumps by,548
marginal negative effect due to,549
marginal negative effect by,549
not needed for,550
no longer necessary due to,550
use is not mandatory,550
not required for,550
outflows of,551
coupled with outflows for,551
has inflow,552
inflows of funds due to,552
inflows in,552
shares characteristics with,553
has commonality with,553
becomes accentuated at,554
accentuated by,554
access granted percentage of GDP,555
access granted amount,555
determines size of,556
determines number of,556
attention given to,557
led to attention on,557
did not recover,558
has not recovered since,558
receives RRF funding,559
needed for RRF funding,559
allocated RRF funding in,559
receive RRF funding,559
from RRF,559
required by RRF,559
major recipient of RRF funding in,559
in market,560
entering the market,560
in markets,560
entered market status,560
shortly before raising,561
shortly before,561
nature of,562
has nature of,562
has nature,562
nature is,562
phase of,563
phase,563
phases of,563
fell short,564
fall short,564
fell short of,564
fell short by,564
settled worth of payments in time,565
settled worth of payments on average year,565
time taken to settle payments,565
average settlement in year,565
settlement date,566
time of settlement,566
time interval for settlement,566
